question,answer,source,focus_area
What are the symptoms of Madelung disease ?,"What are the signs and symptoms of Madelung disease? The signs and symptoms of Madelung disease vary from person to person. The condition is characterized by the symmetric growth of fatty tumors (lipomas) around the neck, shoulders, upper arms and/or upper trunk. In some affected people, these fatty deposits may grow rapidly over the course of months, while others experience a slower progression over the course of years. The lipomas can be associated with significant physical deformity and may lead to a loss of neck mobility and pain. In the majority of cases, the disease is benign; however, lipomas can become cancerous in rare circumstances. People with Madelung disease may also develop peripheral neuropathy and neurological disturbances including difficulty swallowing, hoarseness, sleep problems, tachycardia (rapid heart rate), fluctuation in blood pressure, and breathing issues. In some cases, it may be associated with other metabolic abnormalities or diseases such as hypertension, diabetes mellitus, hypothyroidism, and liver disease. The Human Phenotype Ontology provides the following list of signs and symptoms for Madelung disease. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Arthralgia 90% Limitation of joint mobility 90% Multiple lipomas 90% Gait disturbance 50% Hepatomegaly 50% Insulin resistance 50% Paresthesia 50% Abnormality of the skin - Autosomal dominant inheritance - Lipoma - Peripheral neuropathy - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Madelung disease
What is (are) Diabetes and Pregnancy ?,"Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high. When you are pregnant, high blood sugar levels are not good for your baby.    About seven out of every 100 pregnant women in the United States get gestational diabetes. Gestational diabetes is diabetes that happens for the first time when a woman is pregnant. Most of the time, it goes away after you have your baby. But it does increase your risk for developing type 2 diabetes later on. Your child is also at risk for obesity and type 2 diabetes.    Most women get a test to check for diabetes during their second trimester of pregnancy. Women at higher risk may get a test earlier.    If you already have diabetes, the best time to control your blood sugar is before you get pregnant. High blood sugar levels can be harmful to your baby during the first weeks of pregnancy - even before you know you are pregnant. To keep you and your baby healthy, it is important to keep your blood sugar as close to normal as possible before and during pregnancy.    Either type of diabetes during pregnancy increases the chances of problems for you and your baby. To help lower the chances talk to your health care team about       - A meal plan for your pregnancy    - A safe exercise plan    - How often to test your blood sugar    - Taking your medicine as prescribed. Your medicine plan may need to change during pregnancy.       NIH: National Institute of Diabetes and Digestive and Kidney Diseases",MPlusHealthTopics,Diabetes and Pregnancy
How many people are affected by Fraser syndrome ?,"Fraser syndrome affects an estimated 1 in 200,000 newborns. The condition occurs in approximately 1 in 10,000 fetuses that do not survive to birth.",GHR,Fraser syndrome
What is the outlook for Tuberous Sclerosis ?,"The prognosis for individuals with TSC depends on the severity of symptoms. Individuals with mild symptoms generally do well and live long productive lives, while individuals with the more severe form may have serious disabilities. In rare cases, seizures, infections, or tumors in vital organs such as the kidneys and brain can lead to severe complications and even death. However, with appropriate medical care, most individuals with the disorder can look forward to normal life expectancy.",NINDS,Tuberous Sclerosis
Do you have information about Molds,"Summary : Molds are fungi that can be found both outdoors and indoors. They grow best in warm, damp and humid conditions. If you have damp or wet spots in your house, you will probably get mold.    Molds can cause health problems. Inhaling or touching mold or mold spores may cause allergic reactions or asthma attacks in sensitive people. Molds can cause fungal infections. In addition, mold exposure may irritate your eyes, skin, nose, throat, and lungs.     Centers for Disease Control and Prevention",MPlusHealthTopics,Molds
What is (are) hystrix-like ichthyosis with deafness ?,"Hystrix-like ichthyosis with deafness (HID) is a disorder characterized by dry, scaly skin (ichthyosis) and hearing loss that is usually profound. Hystrix-like means resembling a porcupine; in this type of ichthyosis, the scales may be thick and spiky, giving the appearance of porcupine quills.  Newborns with HID typically develop reddened skin. The skin abnormalities worsen over time, and the ichthyosis eventually covers most of the body, although the palms of the hands and soles of the feet are usually only mildly affected. Breaks in the skin may occur and in severe cases can lead to life-threatening infections. Affected individuals have an increased risk of developing a type of skin cancer called squamous cell carcinoma, which can also affect mucous membranes such as the inner lining of the mouth. People with HID may also have patchy hair loss caused by scarring on particular areas of skin.",GHR,hystrix-like ichthyosis with deafness
What are the treatments for Arginase deficiency ?,"How might arginase deficiency be treated? The treatment and management of arginase deficiency is generally focused on lowering arginine levels and preventing hyperammonemia (an accumulation of ammonia in the blood). This may be accomplished through dietary modifications and the use of certain medications (called nitrogen-scavenging drugs) under the supervision of a medical team with experience treating metabolic conditions. More specifically, people affected by arginase deficiency must restrict dietary protein and arginine. This is often achieved with the use of specialized formulas, which may account for half or more of protein intake. Although people with arginase deficiency are less prone to episodes of severe hyperammonemia than people affected by other urea cycle disorders, special treatment is needed should these episodes occur. During an episode, affected people are generally treated in the hospital and may require dialysis, nitrogen-scavenging medications, intravenous (IV) fluids/feeds and/or other treatments. These treatments are administered with the goal of rapidly reducing blood ammonia levels and preventing neurological damage. GeneReviews offers more specific information on the treatment of arginase deficiency and urea cycle disorders, in general. Please click on the links to access these resources.",GARD,Arginase deficiency
What is (are) Prader-Willi syndrome ?,"Prader-Willi syndrome is a complex genetic condition that affects many parts of the body. In infancy, this condition is characterized by weak muscle tone (hypotonia), feeding difficulties, poor growth, and delayed development. Beginning in childhood, affected individuals develop an insatiable appetite, which leads to chronic overeating (hyperphagia) and obesity. Some people with Prader-Willi syndrome, particularly those with obesity, also develop type 2 diabetes mellitus (the most common form of diabetes).  People with Prader-Willi syndrome typically have mild to moderate intellectual impairment and learning disabilities. Behavioral problems are common, including temper outbursts, stubbornness, and compulsive behavior such as picking at the skin. Sleep abnormalities can also occur. Additional features of this condition include distinctive facial features such as a narrow forehead, almond-shaped eyes, and a triangular mouth; short stature; and small hands and feet. Some people with Prader-Willi syndrome have unusually fair skin and light-colored hair. Both affected males and affected females have underdeveloped genitals. Puberty is delayed or incomplete, and most affected individuals are unable to have children (infertile).",GHR,Prader-Willi syndrome
Is Krabbe disease inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,Krabbe disease
"What are the symptoms of Glutamine deficiency, congenital ?","What are the signs and symptoms of Glutamine deficiency, congenital? The Human Phenotype Ontology provides the following list of signs and symptoms for Glutamine deficiency, congenital. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Death in infancy 7.5% Flexion contracture 5% Micromelia 5% Apnea - Autosomal recessive inheritance - Bradycardia - Brain atrophy - CNS hypomyelination - Depressed nasal bridge - Encephalopathy - Hyperammonemia - Hyperreflexia - Hypoplasia of the corpus callosum - Low-set ears - Muscular hypotonia - Periventricular cysts - Respiratory insufficiency - Seizures - Severe global developmental delay - Skin rash - Subependymal cysts - Ventriculomegaly - Wide nasal bridge - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,"Glutamine deficiency, congenital"
What are the treatments for Analgesic Nephropathy (Painkillers and the Kidneys) ?,"If you have been taking analgesics regularly to control chronic pain, you may be advised to find new ways to treat your pain, such as behavior modification or relaxation techniques. Depending on how much your kidney function has declined, you may be advised to change your diet, limit the fluids you drink, or take medications to avoid anemia and bone problems caused by kidney disease. Your doctor will monitor your kidney function with regular urine and blood tests.",NIDDK,Analgesic Nephropathy (Painkillers and the Kidneys)
What is (are) Alzheimer's Disease ?,"Alzheimers disease is a brain disease that slowly destroys memory and thinking skills and, eventually, the ability to carry out the simplest tasks. It begins slowly and gets worse over time. Currently, it has no cure. Alzheimers disease is the most common cause of dementia in older people.  Get more details about Alzheimer's disease.",NIHSeniorHealth,Alzheimer's Disease
How many people are affected by mucolipidosis III gamma ?,"Mucolipidosis III gamma is a rare disorder, although its exact prevalence is unknown. It is estimated to occur in about 1 in 100,000 to 400,000 individuals worldwide.",GHR,mucolipidosis III gamma
What causes Simple Kidney Cysts ?,The cause of simple kidney cysts is not fully understood. Obstruction of tubulestiny structures within the kidneys that collect urineor deficiency of blood supply to the kidneys may play a role. Diverticulasacs that form on the tubulesmay detach and become simple kidney cysts. The role of genetic factors in the development of simple kidney cysts has not been studied.,NIDDK,Simple Kidney Cysts
What is (are) dopa-responsive dystonia ?,"Dopa-responsive dystonia is a disorder that involves involuntary muscle contractions, tremors, and other uncontrolled movements (dystonia). The features of this condition range from mild to severe. This form of dystonia is called dopa-responsive dystonia because the signs and symptoms typically improve with sustained use of a medication known as L-Dopa.  Signs and symptoms of dopa-responsive dystonia usually appear during childhood, most commonly around age 6. The first signs of the condition are typically the development of inward- and upward-turning feet (clubfeet) and dystonia in the lower limbs. The dystonia spreads to the upper limbs over time; beginning in adolescence, the whole body is typically involved. Affected individuals may have unusual limb positioning and a lack of coordination when walking or running. Some people with this condition have sleep problems or episodes of depression more frequently than would normally be expected.  Over time, affected individuals often develop a group of movement abnormalities called parkinsonism. These abnormalities include unusually slow movement (bradykinesia), muscle rigidity, tremors, and an inability to hold the body upright and balanced (postural instability).  The movement difficulties associated with dopa-responsive dystonia usually worsen with age but stabilize around age 30. A characteristic feature of dopa-responsive dystonia is worsening of movement problems later in the day and an improvement of symptoms in the morning, after sleep (diurnal fluctuation).  Rarely, the movement problems associated with dopa-responsive dystonia do not appear until adulthood. In these adult-onset cases, parkinsonism usually develops before dystonia, and movement problems are slow to worsen and do not show diurnal fluctuations.",GHR,dopa-responsive dystonia
What are the symptoms of Ewing sarcoma ?,"What are the signs and symptoms of Ewing sarcoma? The Human Phenotype Ontology provides the following list of signs and symptoms for Ewing sarcoma. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Ewing's sarcoma - Somatic mutation - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Ewing sarcoma
What are the treatments for Anxiety Disorders ?,"Exposure-based treatment has been used for many years to treat specific phobias. The person gradually encounters the object or situation that is feared, perhaps at first only through pictures or tapes, then later face-to-face. Sometimes the therapist will accompany the person to a feared situation to provide support and guidance. Exposure exercises are undertaken once the patient decides he is ready for it and with his cooperation. To be effective, therapy must be directed at the persons specific anxieties and must be tailored to his or her needs. A typical side effect is temporary discomfort involved with thinking about confronting feared situations.",NIHSeniorHealth,Anxiety Disorders
Is Essential tremor inherited ?,"Is essential tremor inherited? About half of all cases of essential tremor appear to occur because of a genetic mutation. This is referred to as familial tremor. In these cases, essential tremor appears to be passed through generations in families, but the inheritance pattern varies. In many affected families, the condition appears to be inherited in an autosomal dominant manner, which means one copy of an altered gene in each cell is sufficient to cause the disorder. In other families, the inheritance pattern is unclear. Essential tremor may also appear in people with no history of the disorder in their family. In some families, there are individuals who have essential tremor while others have other movement disorders, such as involuntary muscle tensing (dystonia). The potential genetic connection between essential tremor and other movement disorders is an active area of research..",GARD,Essential tremor
Is childhood myocerebrohepatopathy spectrum inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,childhood myocerebrohepatopathy spectrum
Who is at risk for Narcolepsy? ?,"Narcolepsy affects men and women. Symptoms usually begin during the teen or young adult years. The disorder also can develop later in life or in children, but it's rare before age 5.
                
Researchers think that certain factors may work together to cause narcolepsy. If these factors affect you, you may be at higher risk for the disorder. (For more information, go to ""What Causes Narcolepsy?"")",NHLBI,Narcolepsy
What are the genetic changes related to hypohidrotic ectodermal dysplasia ?,"Mutations in the EDA, EDAR, and EDARADD genes cause hypohidrotic ectodermal dysplasia.  The EDA, EDAR, and EDARADD genes provide instructions for making proteins that work together during embryonic development. These proteins form part of a signaling pathway that is critical for the interaction between two cell layers, the ectoderm and the mesoderm. In the early embryo, these cell layers form the basis for many of the body's organs and tissues. Ectoderm-mesoderm interactions are essential for the formation of several structures that arise from the ectoderm, including the skin, hair, nails, teeth, and sweat glands.  Mutations in the EDA, EDAR, or EDARADD gene prevent normal interactions between the ectoderm and the mesoderm and impair the normal development of hair, sweat glands, and teeth. The improper formation of these ectodermal structures leads to the characteristic features of hypohidrotic ectodermal dysplasia.",GHR,hypohidrotic ectodermal dysplasia
What are the stages of Breast Cancer ?,"Key Points
                    - After breast cancer has been diagnosed, tests are done to find out if cancer cells have spread within the breast or to other parts of the body.     - There are three ways that cancer spreads in the body.    - Cancer may spread from where it began to other parts of the body.    - The following stages are used for breast cancer:         - Stage 0 (carcinoma in situ)     - Stage I      - Stage II     - Stage IIIA     - Stage IIIB     - Stage IIIC     - Stage IV        - The treatment of breast cancer depends partly on the stage of the disease.
                
                
                    After breast cancer has been diagnosed, tests are done to find out if cancer cells have spread within the breast or to other parts of the body.
                    The process used to find out whether the cancer has spread within the breast or to other parts of the body is called staging. The information gathered from the staging process determines the stage of the disease. It is important to know the stage in order to plan treatment. The results of some of the tests used to diagnose breast cancer are also used to stage the disease. (See the General Information section.)    The following tests and procedures also may be used in the staging process:         -   Sentinel lymph node biopsy : The removal of the sentinel lymph node during surgery. The sentinel lymph node is the first lymph node to receive lymphatic drainage from a tumor. It is the first lymph node the cancer is likely to spread to from the tumor. A radioactive substance and/or blue dye is injected near the tumor. The substance or dye flows through the lymph ducts to the lymph nodes. The first lymph node to receive the substance or dye is removed. A pathologist views the tissue under a microscope to look for cancer cells. If cancer cells are not found, it may not be necessary to remove more lymph nodes.     -   Chest x-ray : An x-ray of the organs and bones inside the chest. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.     -   Bone scan : A procedure to check if there are rapidly dividing cells, such as cancer cells, in the bone. A very small amount of radioactive material is injected into a vein and travels through the bloodstream. The radioactive material collects in the bones and is detected by a scanner.    -   PET scan (positron emission tomography scan): A procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do.
                
                
                    There are three ways that cancer spreads in the body.
                    Cancer can spread through tissue, the lymph system, and the blood:         - Tissue. The cancer spreads from where it began by growing into nearby areas.     - Lymph system. The cancer spreads from where it began by getting into the lymph system. The cancer travels through the lymph vessels to other parts of the body.     - Blood. The cancer spreads from where it began by getting into the blood. The cancer travels through the blood vessels to other parts of the body.
                
                
                    Cancer may spread from where it began to other parts of the body.
                    When cancer spreads to another part of the body, it is called metastasis. Cancer cells break away from where they began (the primary tumor) and travel through the lymph system or blood.         - Lymph system. The cancer gets into the lymph system, travels through the lymph vessels, and forms a tumor (metastatic tumor) in another part of the body.    - Blood. The cancer gets into the blood, travels through the blood vessels, and forms a tumor (metastatic tumor) in another part of the body.        The metastatic tumor is the same type of cancer as the primary tumor. For example, if breast cancer spreads to the bone, the cancer cells in the bone are actually breast cancer cells. The disease is metastatic breast cancer, not bone cancer.
                
                
                    The following stages are used for breast cancer:
                    This section describes the stages of breast cancer. The breast cancer stage is based on the results of tests that are done on the tumor and lymph nodes removed during surgery and on other tests.     Stage 0 (carcinoma in situ)    There are 3 types of breast carcinoma in situ:            -  Ductal carcinoma in situ (DCIS) is a noninvasive condition in which abnormal cells are found in the lining of a breast duct. The abnormal cells have not spread outside the duct to other tissues in the breast. In some cases, DCIS may become invasive cancer and spread to other tissues. At this time, there is no way to know which lesions could become invasive.     -  Lobular carcinoma in situ (LCIS) is a condition in which abnormal cells are found in the lobules of the breast. This condition seldom becomes invasive cancer. Information about LCIS is not included in this summary.     -  Paget disease of the nipple is a condition in which abnormal cells are found in the nipple only.               Stage I      In stage I, cancer has formed. Stage I is divided into stages IA and IB.            - In stage IA, the tumor is 2 centimeters or smaller. Cancer has not spread outside the breast.     - In stage IB, small clusters of breast cancer cells (larger than 0.2 millimeter but not larger than 2 millimeters) are found in the lymph nodes and either:                  - no tumor is found in the breast; or       - the tumor is 2 centimeters or smaller.                         Stage II     Stage II is divided into stages IIA and IIB.            - In stage IIA:                  - no tumor is found in the breast or the tumor is 2 centimeters or smaller. Cancer (larger than 2 millimeters) is found in 1 to 3 axillary lymph nodes or in the lymph nodes near the breastbone (found during a sentinel lymph node biopsy); or        - the tumor is larger than 2 centimeters but not larger than 5 centimeters. Cancer has not spread to the lymph nodes.                - In stage IIB, the tumor is:                  - larger than 2 centimeters but not larger than 5 centimeters. Small clusters of breast cancer cells (larger than 0.2 millimeter but not larger than 2 millimeters) are found in the lymph nodes; or        - larger than 2 centimeters but not larger than 5 centimeters. Cancer has spread to 1 to 3 axillary lymph nodes or to the lymph nodes near the breastbone (found during a sentinel lymph node biopsy); or        - larger than 5 centimeters. Cancer has not spread to the lymph nodes.                          Stage IIIA     In stage IIIA:            - no tumor is found in the breast or the tumor may be any size. Cancer is found in 4 to 9 axillary lymph nodes or in the lymph nodes near the breastbone (found during imaging tests or a physical exam); or      - the tumor is larger than 5 centimeters. Small clusters of breast cancer cells (larger than 0.2 millimeter but not larger than 2 millimeters) are found in the lymph nodes; or      - the tumor is larger than 5 centimeters. Cancer has spread to 1 to 3 axillary lymph nodes or to the lymph nodes near the breastbone (found during a sentinel lymph node biopsy).               Stage IIIB     In stage IIIB, the tumor may be any size and cancer has spread to the chest wall and/or to the skin of the breast and caused swelling or an ulcer. Also, cancer may have spread to:             - up to 9 axillary lymph nodes; or     - the lymph nodes near the breastbone.           Cancer that has spread to the skin of the breast may also be inflammatory breast cancer. See the section on Inflammatory Breast Cancer for more information.       Stage IIIC     In stage IIIC, no tumor is found in the breast or the tumor may be any size. Cancer may have spread to the skin of the breast and caused swelling or an ulcer and/or has spread to the chest wall. Also, cancer has spread to:             - 10 or more axillary lymph nodes; or     -  lymph nodes above or below the collarbone; or     - axillary lymph nodes and lymph nodes near the breastbone.           Cancer that has spread to the skin of the breast may also be inflammatory breast cancer. See the section on Inflammatory Breast Cancer for more information.       Stage IV     In stage IV, cancer has spread to other organs of the body, most often the bones, lungs, liver, or brain.
                
                
                    The treatment of breast cancer depends partly on the stage of the disease.
                    For ductal carcinoma in situ (DCIS) treatment options, see Ductal Carcinoma in Situ.   For treatment options for stage I, stage II, stage IIIA, and operable stage IIIC breast cancer, see Early, Localized, or Operable Breast Cancer.   For treatment options for stage IIIB, inoperable stage IIIC, and inflammatory breast cancer, see Locally Advanced or Inflammatory Breast Cancer.   For treatment options for cancer that has recurred near the area where it first formed, see Locoregional Recurrent Breast Cancer.   For treatment options for stage IV breast cancer or breast cancer that has recurred in other parts of the body, see Metastatic Breast Cancer.",CancerGov,Breast Cancer
"What is (are) GM2-gangliosidosis, AB variant ?","GM2-gangliosidosis, AB variant is a rare inherited disorder that progressively destroys nerve cells (neurons) in the brain and spinal cord.  Signs and symptoms of the AB variant become apparent in infancy. Infants with this disorder typically appear normal until the age of 3 to 6 months, when their development slows and muscles used for movement weaken. Affected infants lose motor skills such as turning over, sitting, and crawling. They also develop an exaggerated startle reaction to loud noises. As the disease progresses, children with the AB variant experience seizures, vision and hearing loss, intellectual disability, and paralysis. An eye abnormality called a cherry-red spot, which can be identified with an eye examination, is characteristic of this disorder. Children with the AB variant usually live only into early childhood.",GHR,"GM2-gangliosidosis, AB variant"
What is (are) keratoderma with woolly hair ?,"Keratoderma with woolly hair is a group of related conditions that affect the skin and hair and in many cases increase the risk of potentially life-threatening heart problems. People with these conditions have hair that is unusually coarse, dry, fine, and tightly curled. In some cases, the hair is also sparse. The woolly hair texture typically affects only scalp hair and is present from birth. Starting early in life, affected individuals also develop palmoplantar keratoderma, a condition that causes skin on the palms of the hands and the soles of the feet to become thick, scaly, and calloused.  Cardiomyopathy, which is a disease of the heart muscle, is a life-threatening health problem that can develop in people with keratoderma with woolly hair. Unlike the other features of this condition, signs and symptoms of cardiomyopathy may not appear until adolescence or later. Complications of cardiomyopathy can include an abnormal heartbeat (arrhythmia), heart failure, and sudden death.  Keratoderma with woolly hair comprises several related conditions with overlapping signs and symptoms. Researchers have recently proposed classifying keratoderma with woolly hair into four types, based on the underlying genetic cause. Type I, also known as Naxos disease, is characterized by palmoplantar keratoderma, woolly hair, and a form of cardiomyopathy called arrhythmogenic right ventricular cardiomyopathy (ARVC). Type II, also known as Carvajal syndrome, has hair and skin abnormalities similar to type I but features a different form of cardiomyopathy, called dilated left ventricular cardiomyopathy. Type III also has signs and symptoms similar to those of type I, including ARVC, although the hair and skin abnormalities are often milder. Type IV is characterized by palmoplantar keratoderma and woolly and sparse hair, as well as abnormal fingernails and toenails. Type IV does not appear to cause cardiomyopathy.",GHR,keratoderma with woolly hair
What is (are) Problems with Taste ?,You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem?   - What changes in my sense of taste did I notice?  -  Do all foods and drinks taste the same?   - Have there been any changes in my sense of smell?   - Does the change in taste affect my ability to eat normally?   - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine?   - Have I recently had a cold or the flu?  When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,NIHSeniorHealth,Problems with Taste
What causes McCune Albright syndrome ?,"What causes McCune Albright syndrome? McCune Albright syndrome (MAS) is caused by a change (mutation) in the GNAS gene. This gene provides instructions for making part of a protein that ultimately influences many cell functions by regulating hormone activity. GNAS gene mutations that cause MAS result in a protein that causes the enzyme adenylate cyclase to be constantly turned on. This, in turn, leads to over-production of several hormones, resulting in the signs and symptoms of MAS.",GARD,McCune Albright syndrome
What is (are) Hemifacial myohyperplasia ?,"Hemifacial myohyperplasia (HMH) is a developmental disorder that frequently affects the right side of the face and is commonly seen in males. On the affected side of the face, there are usually enlarged tissues that lead to an abnormal jaw shape.  Other features associated with HMH include enlargement of the brain, epilepsy, strabismus, genitourinary system disorders, intellectual disability, and dilation of the pupil on the affected side . Asymmetry of the face is more noticeable with age and remains until the end of adolescence when the asymmetry stabilizes. The cause of HMH is unknown; but theories suggest an imbalance in the endocrine system, neuronal abnormalities, chromosomal abnormalities, random events in twinning and fetal development, and vascular or lymphatic abnormalities.",GARD,Hemifacial myohyperplasia
What are the treatments for Stiff person syndrome ?,"How might stiff person syndrome be treated? Treatment of stiff person syndrome (SPS) focuses on the specific symptoms present in each person. Benzodiazepines may be used to treat muscle stiffness and episodic spasms; baclofen may be used in addition to benzodiazepines. Anti-seizure drugs have reportedly been effective for some people. More recently, studies have shown that intravenous immunoglobulin (IVIG) is effective in improving many of the symptoms of SPS. Research involving additional treatment options for SPS is ongoing. Additional information about the treatment of stiff person syndrome can be viewed on Medscape Reference's Web site.",GARD,Stiff person syndrome
